timestamp,source_ip,event_type,login_attempts,bytes_transferred,label
2026-03-21 14:59:44,93.65.14.117,file_download,1,2697,normal
2026-03-21 14:59:44,62.241.60.109,file_download,2,3278,normal
2026-03-21 14:59:44,217.115.124.177,file_download,2,3670,normal
2026-03-21 14:59:44,59.197.170.39,logout,2,4213,normal
2026-03-21 14:59:44,171.41.22.207,api_request,1,1609,normal
2026-03-21 14:59:44,96.191.20.179,logout,2,2613,normal
2026-03-21 14:59:44,172.231.144.53,login_success,3,1788,normal
2026-03-21 14:59:44,69.218.140.135,file_download,3,3842,normal
2026-03-21 14:59:44,145.82.224.214,login_success,2,4674,normal
2026-03-21 14:59:44,88.23.66.39,logout,2,3303,normal
2026-03-21 14:59:44,119.186.93.126,file_download,1,4108,normal
2026-03-21 14:59:44,111.14.28.117,api_request,1,2610,normal
2026-03-21 14:59:44,11.11.68.212,api_request,2,216,normal
2026-03-21 14:59:44,109.48.192.174,file_download,3,1854,normal
2026-03-21 14:59:44,108.166.3.61,login_success,3,1257,normal
2026-03-21 14:59:44,83.38.188.50,login_success,3,224,normal
2026-03-21 14:59:44,68.104.148.102,logout,2,1269,normal
2026-03-21 14:59:44,147.42.108.5,logout,1,3522,normal
2026-03-21 14:59:44,143.41.251.60,file_download,1,1811,normal
2026-03-21 14:59:44,114.177.44.106,api_request,1,579,normal
2026-03-21 14:59:44,201.169.227.86,login_success,2,3194,normal
2026-03-21 14:59:44,99.109.108.207,login_success,1,1869,normal
2026-03-21 14:59:44,97.28.255.174,api_request,3,4836,normal
2026-03-21 14:59:44,94.249.24.249,login_success,3,1505,normal
2026-03-21 14:59:44,162.122.136.51,logout,1,2645,normal
2026-03-21 14:59:44,157.102.106.11,file_download,2,1158,normal
2026-03-21 14:59:44,14.78.91.52,file_download,3,3019,normal
2026-03-21 14:59:44,31.201.34.49,logout,3,4537,normal
2026-03-21 14:59:44,199.147.22.228,login_success,1,301,normal
2026-03-21 14:59:44,136.253.57.10,logout,1,744,normal
2026-03-21 14:59:44,158.212.25.238,file_download,1,2267,normal
2026-03-21 14:59:44,10.135.112.51,api_request,2,3421,normal
2026-03-21 14:59:44,72.167.87.118,logout,1,4061,normal
2026-03-21 14:59:44,187.5.75.217,api_request,2,1514,normal
2026-03-21 14:59:44,96.220.45.209,api_request,3,842,normal
2026-03-21 14:59:44,143.105.140.225,api_request,1,2084,normal
